HotelID,Name Hotel,Location,Descriptions,Rating
1,Bebe Homestay Phu Quoc,Phú Quốc,"Nằm trên đảo Phú Quốc, Bebe Homestay Phu Quoc cung cấp chỗ nghỉ với quán bar, sảnh khách chung, vườn, WiFi miễn phí và tầm nhìn ra vườn. Homestay này có chỗ đỗ xe riêng miễn phí và bếp chung. Phòng nghỉ tại đây có khu vực ghế ngồi, khu vực ăn uống và bếp đi kèm máy rửa bát, lò vi sóng cùng tủ lạnh. Khách lưu trú tại homestay này có thể thưởng thức bữa sáng à la carte hoặc kiểu Á. Bebe Homestay Phu Quoc có sân hiên để khách thư giãn. Chùa Sùng Hưng nằm trong bán kính 7 km từ chỗ nghỉ trong khi Sòng bạc Corona cách đó 15 km. Sân bay gần nhất là sân bay quốc tế Phú Quốc, cách Bebe Homestay Phu Quoc 10 km.",8.1
2,Coucou Homestead - I,TP. Hồ Chí Minh,"Nằm cách Chợ ẩm thực đường phố Bến Thành chưa đầy 1 km, Coucou Homestead - I có sảnh khách chung, vườn cũng như chỗ nghỉ gắn máy điều hòa với sân trong và WiFi miễn phí. Các căn tại đây có khu vực bếp ăn đầy đủ tiện nghi với lò vi sóng, ấm đun nước và tủ lạnh. Một số căn được bố trí phòng tắm riêng với vòi sen, dép đi trong phòng, máy sấy tóc và đồ vệ sinh cá nhân miễn phí. Homestay này có sân hiên tắm nắng. Các điểm tham quan nổi tiếng gần Coucou Homestead - I bao gồm Công viên Tao Đàn, Bảo tàng Thành phố Hồ Chí Minh và Bảo tàng Mỹ thuật. Sân bay gần nhất là sân bay quốc tế Tân Sơn Nhất, cách đó 12 km, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7
3,Sapphire Boutique Hotel Da Nang,Đà Nẵng,"Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 600 m, Sapphire Boutique Hotel Da Nang cung cấp chỗ nghỉ với hồ bơi ngoài trời, chỗ đỗ xe riêng miễn phí, sảnh khách chung và khu vườn. Chỗ nghỉ này có các phòng gia đình và sân hiên. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Phòng nghỉ được trang bị máy điều hòa, TV truyền hình vệ tinh màn hình phẳng, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, dép đi trong phòng và bàn làm việc. Các phòng tại Sapphire Boutique Hotel Da Nang có phòng tắm riêng, tủ để quần áo, ga trải giường và khăn tắm. Một số phòng được bố trí két an toàn.  Cầu Sông Hàn nằm cách chỗ nghỉ 2,2 km trong khi Cầu khóa Tình yêu cách đó 2,7 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 7 km từ Sapphire Boutique Hotel Da Nang, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",8
4,Saigon Amigo Hotel,TP. Hồ Chí Minh,"Saigon Amigo Hotel có các phòng nghỉ máy lạnh nhưng ấm cúng với Wi-Fi miễn phí, nhà hàng riêng và cung cấp chỗ đỗ xe máy miễn phí. Lễ tân 24 giờ và bữa trưa đóng hộp cũng có sẵn. Nằm ở thành phố Hồ Chí Minh, Saigon Amigo Hotel cách Bảo tàng Mỹ thuật và Chợ Bến Thành 600 m. Công viên Tao Đàn và Sân bay Quốc tế Tân Sơn Nhất cách đó lần lượt 700 m và 7 km. Mỗi phòng đều có truyền hình vệ tinh màn hình phẳng và minibar. Ngoài ra còn bao gồm khu vực tiếp khách và phòng tắm riêng với vòi sen cùng đồ vệ sinh cá nhân miễn phí. Khăn tắm và bộ khăn trải giường cũng được cung cấp. Các tiện nghi khác bao gồm dịch vụ đặt vé, bàn đặt tour và chỗ để hành lý.",7.1
5,Hanoi Graceful Hotel,Hà Nội,"Tọa lạc ở trung tâm Quận Hoàn Kiếm, Hanoi Graceful Hotel nằm cách các chợ Đồng Xuân và Hàng Da 3 phút đi bộ. Nơi đây có nhà hàng và cung cấp truy cập Wi-Fi miễn phí. Khách sạn cách Hồ Gươm 7 phút đi bộ và cách Sân bay Quốc tế Nội Bài 40 phút lái xe. Các phòng máy lạnh tại đây có đồ nội thất hiện đại kiểu phương Đông, truyền hình cáp màn hình phẳng, ấm đun nước điện và minibar. Phòng tắm riêng đi kèm với bồn tắm. Nhà hàng Hanoi Graceful Restaurant phục vụ cả các món ăn gọi món của địa phương và quốc tế. Du khách cũng có thể ăn uống ngay tại phòng. Nhân viên dịch vụ có thể hỗ trợ khách với các dịch vụ cho thuê phương tiện vận chuyển, đưa đón sân bay và thu đổi ngoại tệ. Các dịch vụ sắp xếp tour du lịch và đặt vé cũng có thể được bố trí tại đây.",7.2
6,Ecstasy Hotel,Nha Trang,"Tọa lạc tại thành phố Nha Trang, cách Bãi biển Nha Trang 100 m, Ecstasy Hotel có dịch vụ nhận phòng/trả phòng cấp tốc, phòng nghỉ không gây dị ứng, sảnh khách chung, WiFi miễn phí và sân hiên. Chỗ nghỉ nằm cách Tháp Trầm Hương khoảng 1,9 km, Viện hải dương học 2,9 km và Trung tâm mua sắm Nha Trang Centre 3,1 km. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách. Tất cả phòng nghỉ tại khách sạn đều có máy điều hòa, khu vực ghế ngồi, TV truyền hình vệ tinh màn hình phẳng, két an toàn và phòng tắm riêng với vòi sen, dép cùng đồ vệ sinh cá nhân miễn phí. Các phòng được trang bị bàn làm việc và ấm đun nước. Ecstasy Hotel phục vụ bữa sáng buffet hàng ngày. Các điểm tham quan nổi tiếng gần chỗ nghỉ gồm có quán Sailing Club, Trung tâm Thuyền buồm Việt Nam và Quảng trường 2/4. Sân bay gần nhất là sân bay quốc tế Cam Ranh, nằm trong bán kính 35 km từ Ecstasy Hotel, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",6.5
7,Full House Times City,Hà Nội,"Nằm cách Nhà hát Lớn Hà Nội 4,7 km, Full House Times City cung cấp chỗ nghỉ với nhà hàng, sảnh khách chung và bếp chung để tạo sự thuận tiện cho khách. Chỗ nghỉ có Wi-Fi miễn phí. Tất cả các căn tại đây đều được trang bị máy điều hòa, TV màn hình phẳng, phòng khách với ghế sofa, bếp đầy đủ tiện nghi đi kèm khu vực ăn uống và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, dép đi trong phòng cùng máy sấy tóc. Một số phòng có sân trong và/hoặc ban công nhìn ra hồ bơi. Căn hộ có sân hiên. Full House Times City cách trung tâm thương mại Tràng Tiền Plaza 5 km và trung tâm mua sắm Aeon Mall Long Biên 5,5 km. Sân bay gần nhất là sân bay quốc tế Nội Bài, cách chỗ nghỉ 30 km và tại đây cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",7
8,Little Hanoi Hotel,Hà Nội,"Nằm đối diện Hồ Hoàn Kiếm trong Khu Phố Cổ, Little Diamond Hotel 2 cung cấp các phòng nghỉ lắp máy điều hòa với Wi-Fi miễn phí và nhà hàng. Khách sạn cách các điểm tham quan địa phương bao gồm Nhà hát Múa rối Nước và chợ đêm cuối tuần chưa đầy 10 phút đi bộ. Ga Hà Nội cách đó 2 km trong khi du khách đi 35 km là tới Sân bay quốc tế Nội Bài. Được trang bị sàn gỗ và hệ thống sưởi, mỗi phòng tại đây đều đi kèm truyền hình cáp cùng tủ lạnh mini. Phòng tắm riêng có bồn tắm, tiện nghi vòi sen nước nóng và đồ vệ sinh cá nhân. Phòng giữ hành lý, dịch vụ đưa đón sân bay và dịch vụ giặt là cũng được cung cấp cho khách. Khách cũng có thể thuê xe máy và xe đạp tại đây. Đội ngũ nhân viên của khách sạn cũng có thể hỗ trợ khách thông tin du lịch và dịch vụ đặt chỗ. Bữa sáng được phục vụ ngay trong phòng nghỉ của khách theo yêu cầu hoặc tại nhà hàng trong nhà của khách sạn (mở cửa từ 07:00-11:00).",5.5
9,Seahorse Hostel & Bar by HAVI,Đà Nẵng,"Tọa lạc tại vị trí tuyệt đẹp ở thành phố Đà Nẵng, Seahorse Hostel & Bar by HAVI cung cấp phòng nghỉ gắn máy điều hòa với WiFi miễn phí và chỗ đỗ xe riêng miễn phí. Chỗ nghỉ này nằm cách Bãi biển Mỹ Khê 2,3 km, Bãi biển Thanh Bình 2,6 km và Cầu khóa Tình yêu 2,2 km. Chỗ nghỉ có lễ tân 24 giờ, sảnh khách chung và tổ chức các tour du lịch cho khách. Phòng nghỉ tại Seahorse Hostel & Bar by HAVI có khu vực ghế ngồi, ga trải giường và khăn tắm. Một số phòng được bố trí khu vực bếp ăn nhỏ với lò vi sóng, tủ lạnh và minibar.  Chỗ nghỉ có sân hiên. Các điểm tham quan nổi tiếng gần Seahorse Hostel & Bar by HAVI bao gồm Trung tâm thương mại Indochina Riverside, Bảo tàng Chăm và Cầu Sông Hàn. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 4,3 km từ hostel, và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí.",6.8
10,Lantana Boutique Hoi An Hotel,Hội An,"Lantana Boutique Hoi An Hotel nằm trong bán kính chỉ 600 m từ Phố Cổ Hội An và có hồ bơi trong nhà. Khách sạn cung cấp chỗ ở hiện đại, trang nhã và có trung tâm thể dục. Du khách có thể sử dụng Wi-Fi miễn phí ở tất cả các khu vực và chỗ đỗ xe miễn phí ngay trong khuôn viên. Tọa lạc tại một vị trí thuận tiện, khách sạn cách Chùa Cầu Nhật Bản 400 m và Hội Quán Phúc Kiến 1 km. Sân bay Đà Nẵng cách đó khoảng 30 km. Các phòng nghỉ máy lạnh được bài trí trang nhã tại đây có sàn lát gạch, tủ quần áo, két an toàn cá nhân, TV truyền hình cáp màn hình phẳng và khu vực tiếp khách. Ngoài ra còn được trang bị ấm đun nước điện và minibar. Phòng tắm riêng đi kèm bồn tắm, máy sấy tóc và tiện nghi vòi sen. Tại Lantana Hoi An Boutique Hotel, du khách có thể tận hưởng dịch vụ mát-xa thư giãn tại spa hoặc thuê xe đạp/xe hơi để khám phá vùng lân cận. Nhân viên thân thiện tại quầy lễ tân 24 giờ có thể hỗ trợ du khách với các dịch vụ thu đổi ngoại tệ, giặt là và đặt tour du lịch. Khách sạn có nhà hàng, nơi du khách có thể thưởng thức tuyển chọn các món ăn địa phương và quốc tế ngon miệng. Đồ uống sau bữa ăn được phục vụ tại quầy bar.",7.3
